,CAGR,Volatility,Sharpe,Max Drawdown
STARHEALTH,-0.15706016528061584,0.32901829109650305,-0.4773599812861138,-0.47165709826654056
FORTIS,0.08361910378019077,0.34419567046806027,0.24294060313565224,-0.5532552438027789
BIOCON,0.15363613062756198,0.3254081106568583,0.4721336856584092,-0.5891232423490482
COROMANDEL,0.1927280762921062,0.3181675033533969,0.6057440633025244,-0.5629261363636348
NLCINDIA,0.0341579969056649,0.372531244083104,0.09169162975775787,-0.7780914737436477
TATAINVEST,0.1977585671055302,0.3073583437315953,0.6434136932954891,-0.42154759940603836
JKCEMENT,0.2570135685274806,0.34724680196236246,0.7401466826333447,-0.5766939171400857
IPCALAB,0.181593654603184,0.3156223879446147,0.575350993906839,-0.5450586264656616
METROBRAND,0.4282291136052734,0.38057413500890774,1.1252186478601607,-0.25525753791580774
KEI,0.40646026816828695,0.4815901983306065,0.8439961394090839,-0.8343337334933965
ESCORTS,0.25978005821273675,0.4202236500060942,0.6181947594072094,-0.7932621887424144
LLOYDSME,0.3692119016150155,0.3894285187833001,0.948086449263018,-0.22755881912183407
GLAND,0.0030575233512830646,0.4152552637421039,0.00736299721701289,-0.7929800173761943
IGL,0.19424151944809664,0.3287247125173966,0.5908941799981561,-0.5674496644295307
NAM-INDIA,0.1342119333838847,0.40588098223659363,0.33066819894914595,-0.5981294081570074
APOLLOTYRE,0.17362617729168428,0.38958643592810616,0.4456679218773547,-0.7452091318113647
JUBLFOOD,0.24569971570117777,0.3949511291153159,0.6221015654558101,-0.5945792462570985
POWERINDIA,1.0096487641526615,0.4116622839160818,2.4526142024671866,-0.2650478884937837
MSUMI,0.24951651538039576,0.3049367479669658,0.8182566287728176,-0.29042651119975493
BANDHANBNK,-0.126299327435056,0.49490266989791815,-0.25520033557529065,-0.7879265451555427
DEEPAKNTR,0.43990960724924677,0.39616080674489546,1.1104319250150432,-0.4421734795613167
ZFCVINDIA,0.2617999627616723,0.3051210787245195,0.8580199173916793,-0.421670458866202
AJANTPHARM,0.44911402912662224,0.36867883705155796,1.2181714380959052,-0.5792728810279701
KPRMILL,0.36405449620873287,0.390620608360393,0.9319899882825696,-0.6823821339950371
SYNGENE,0.19022018351128112,0.2984784496215437,0.6372995563079048,-0.36741940065331546
EIHOTEL,0.09084835385067502,0.35720476722661726,0.25433130289954714,-0.7455188679245279
APARINDS,0.31356102604009206,0.4232994556823743,0.7407546166923842,-0.7243513985030102
NATIONALUM,0.04192150516684867,0.4087238446609316,0.1025668203958735,-0.8044958049707139
TATACHEM,0.15093506422012348,0.29992978632825346,0.503234660577976,-0.4624980669106652
GLENMARK,0.11522722152495657,0.3485671188034777,0.330573985063467,-0.8466742745353768
HINDCOPPER,-0.007141043217660514,0.4958193960550902,-0.014402508805579436,-0.9695286332815946
